"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AP000356.3",4.84606400635048,-1.6367114523428e-06,0.778001399085255,-1.18198810931665,0.237210418970827,0.789110351824292,"Stable"
"OR7E29P",6.02702751712071,-1.4500542902005e-06,0.765747768518768,-1.02512913328271,0.305302260750996,0.836617997206084,"Stable"
"IFITM3P6",6.09619991487798,-3.6561280543449e-06,0.490504623747668,-1.66987788669878,0.094943526301103,0.619154008514005,"Stable"
"AL031670.1",4.55906293029846,5.44398461723146e-08,0.529201553599474,0.0253746056634027,0.979756166329616,0.998440579039769,"Stable"
"USP12-AS2",7.46956284106709,1.49248272478629e-06,0.541474424563588,0.806711187563615,0.419832897064845,0.880800530254643,"Stable"
"AL133467.2",3.17485594817164,7.73633026787156e-07,1.54657124538224,2.54628578438312,0.0108876012562747,NA,"Stable"
"CPSF4L",6.87994681305257,-6.46700934562312e-07,0.639586757373575,-0.387185110774919,0.698619172077775,0.953511469122818,"Stable"
"AC113410.3",5.55852038590339,1.86391937562469e-06,0.563454746855342,-0.319378851583273,0.749439245745267,0.962979541535307,"Stable"
"INSL3",4.65174919124588,2.72374799893701e-07,0.739877195421571,0.193782344947739,0.8463463116607,0.979563285657982,"Stable"
"PES1P1",4.73625506018853,3.2864654922108e-07,1.25019848864194,0.406259440528084,0.684551983549077,0.951083526605527,"Stable"
"HTR2A",4.58206505174396,8.45285733694199e-07,0.577179606625955,0.479420065252539,0.63163982174455,0.942297311701233,"Stable"
"RRN3P2",5.61449658326539,2.13249223188164e-07,0.421096615281155,0.0860829963305075,0.931400440406925,0.990714106218585,"Stable"
"TRAV12-2",3.2202428022931,-1.77396454283515,0.651915013225817,-0.968714508956209,0.332687651436926,NA,"Stable"
"AL592295.1",5.59008512595031,1.28139285390242e-06,0.40854701182099,0.516287382810434,0.605653707132624,0.937726068590418,"Stable"
"AL355490.1",5.92075665987889,-1.15701338310812e-06,0.416071862879319,-0.463953090508568,0.642681354553167,0.944741942453921,"Stable"
"CTD-2350J17.1",1.80820514726821,2.26527129597876e-07,1.84768141452938,-0.378644700821588,0.704951723048092,NA,"Stable"
"LCMT1-AS1",6.22902205940317,-3.00406477390245e-06,0.449671741227593,-1.27211205925436,0.203333307078632,0.762085755455731,"Stable"
"AC010336.2",8.1950546765926,-1.88582031975742e-06,0.601626042095195,-1.05825349623961,0.289939887990039,0.826747014116791,"Stable"
"AC010883.3",5.55702915583209,5.74821459783382e-06,0.377235780964879,2.10285158444576,0.0354787451643634,0.436284893863722,"Stable"
"AL161640.2",5.61490849150145,1.2838128222725e-06,0.726238459724659,-1.44066708783767,0.14967875725779,0.708783029523499,"Stable"
"PNPLA5",2.28355799368459,9.07662812248753e-07,1.03324007617579,1.46413396445336,0.143157348755477,NA,"Stable"
"AP001107.1",5.52488104596262,2.40779336952205e-06,0.42019897881916,0.975503428115962,0.329310602049018,0.847484506969674,"Stable"
"CDRT15P12",4.67531576214782,3.41137906561008e-07,0.724042656717225,0.239965323585906,0.810357139024777,0.974091933259274,"Stable"
